a (km),e,i (rad),Omega (rad),omega (rad),M (rad)
706675028.9199452,0.9321886542064622,0.3423997082579415,1.9999174018124153,1.8280956928580387,5.980906545063885
249486012.86684853,0.5552514944644741,0.3626477151498871,-1.726536570091474,1.8971661262013235,0.5412316270862583
190506104.27220464,0.21851887891908264,0.0925463466212038,1.3857177084018668,6.240964146929607,5.048768404257804
191519969.73437175,0.2526138404134183,0.17780411920873376,1.1509316660574997,5.731117602011885,0.8525095176100539
337412293.3065881,0.7447380570838028,0.11800481101050929,1.151173150956435,4.715115805744379,4.397488005353603
449631388.00293905,0.6892828727821192,0.03355459348723216,0.28016317053542766,6.063107381327282,2.3896669709413665
177125822.61720163,0.4041015007706356,0.055184708937383906,-2.400901449633212,4.715976112803557,5.800056249449844
200569941.79947767,0.3403682577412815,0.36175314009713205,-0.5213993570113294,0.9858483784158718,1.4169983015558572
432904863.1377963,0.6552731589653217,0.12888701260059499,-2.5714704566141,0.6103544810344976,2.0030775003783248
147050858.973017,0.02939330455999493,0.0038363614775245853,0.46687677293600405,2.1605053339734965,0.4292399621023071
338065815.7684875,0.6184542360886116,0.21370965939211506,1.0165991749798085,2.174104570737306,2.16731622202359
123383123.5617473,0.4471546866887871,0.02817324475991362,0.96475129060154,5.6082039326997855,3.8461748864380785
140284312.94733378,0.4964192276389854,0.10220518664992712,-2.3061728750244934,2.226613522183335,3.2009226557907384
282337997.9256554,0.5353961449091605,0.0690651144839249,-2.9813641005179385,0.8051843599291075,0.8086035633651552
126103769.6567069,0.37482255527576985,0.08622255788284106,-1.5465106240355555,5.4540874200140586,1.5091061121596292
147363718.43660617,0.07824533141592069,0.09872303384084131,-1.8005746193731034,4.826829605255995,4.682277943227825
114957088.85714324,0.28367460779334347,0.03175864262408575,1.0292998589009947,3.2373616371510323,4.506369049767411
142238297.68180346,0.14745520484850969,0.16409534786207916,-2.799138100698274,1.0893850600117831,1.1636753840861385
354758975.7945936,0.6340651643112668,0.1657028430559992,-0.8807546827248118,5.335795932115754,1.092831033759646
239986344.5676308,0.5727927562622239,0.2986939296588481,2.170876499593989,4.617501915282522,0.7470089340146036
157605054.12544405,0.11077983079815755,0.12620820496049645,0.698602566020051,4.357774468479167,6.020193041496189
256031579.53563994,0.47507120156691307,0.022066225113285706,0.5447749382397715,3.936662500591136,2.280076799319186
257359851.55752233,0.5582507127084861,0.07104311599204338,-0.5785977269304661,1.9068668369842445,2.0096455743219153
267377257.64017236,0.46645087732228396,0.1509524329473295,1.0319042450175664,0.49754237664115664,4.10992526532138
227029673.4062699,0.3525125186386803,0.16143025102586264,0.46334300416435925,0.1054377194711904,3.888692283974737
132080534.20621058,0.3574284321609095,0.0531551152923908,0.17483500493755952,4.0178251047834905,2.1807334844497817
203242668.88239542,0.3877790748372149,0.34297873823468666,3.0747627925277405,2.001280028668649,1.9483740815720072
138476710.24179152,0.2775341954062354,0.35332943423945923,-0.22185058683998093,2.108439627484774,1.1553345076086803
250024868.19332796,0.7478932255623024,0.35052108449023495,2.6984182902875964,1.2009981401012695,3.446558744104305
186953155.23943177,0.25239221191867006,0.05969353780982195,2.6833136594071023,4.074579778527248,4.412387826776761
