"pdes","epoch_mjd","a","e","i","om","w","ma"
85770,60200,0.9978,0.3451,33.18,18.33,234.24,81.47
85774,60200,1.403,0.3289,13.59,64.62,50.14,301.40
85804,60200,1.721,0.3542,27.66,285.68,269.85,256.68
85818,60200,1.657,0.4164,62.72,235.64,301.24,121.61
85839,60200,1.654,0.2482,9.32,28.52,199.53,86.44
85867,60200,1.83,0.3020,0.95,254.12,287.88,304.57
85938,60200,1.853,0.4844,9.14,19.88,197.76,245.62
85953,60200,0.7388,0.7031,12.61,180.45,172.42,97.36
85989,60200,0.8831,0.6328,17.06,130.16,309.24,223.35
85990,60200,1.008,0.3112,5.36,124.31,235.57,282.83
86039,60200,1.76,0.5788,7.13,311.65,120.77,48.53
86067,60200,1.817,0.3235,30.55,136.04,301.86,232.01
86324,60200,1.967,0.4345,34.60,293.65,75.33,277.82
86326,60200,1.845,0.3627,34.31,78.44,312.58,192.65
86450,60200,0.9681,0.4148,18.11,124.85,215.61,22.09
86666,60200,1.463,0.4269,29.01,186.91,258.86,138.45
86667,60200,0.8594,0.5947,14.29,208.31,172.49,319.38
86819,60200,1.996,0.5058,10.06,164.88,150.32,72.56
86829,60200,1.463,0.5749,14.37,78.46,31.42,130.52
86878,60200,1.342,0.6185,9.47,230.99,214.91,60.52
87024,60200,1.197,0.1898,14.43,230.51,84.92,216.44
87025,60200,1.226,0.4835,25.32,120.49,359.62,116.04
87309,60200,0.8475,0.4631,34.74,294.27,188.17,83.91
87311,60200,1.59,0.5121,7.70,191.42,343.52,296.04
87684,60200,0.8586,0.6429,19.22,162.02,47.79,47.50
88188,60200,2.008,0.3910,11.34,340.13,195.37,304.26
88213,60200,0.9539,0.5952,17.81,114.26,194.99,251.15
88254,60200,1.182,0.6296,1.52,272.12,140.21,219.93
88263,60200,2.096,0.4324,38.79,232.82,241.59,189.92
88264,60200,2.148,0.4519,12.07,104.94,201.48,13.59
88710,60200,1.062,0.2701,21.90,202.83,329.36,242.80
88959,60200,1.723,0.5638,53.84,38.96,114.94,203.85
89136,60200,1.356,0.2528,1.91,175.91,67.14,82.94
89355,60200,1.787,0.3085,22.66,103.04,85.07,359.67
89830,60200,2.078,0.5072,43.66,19.90,5.82,121.68
89958,60200,1.642,0.8865,9.91,188.17,222.91,358.71
89959,60200,1.735,0.5284,42.35,132.02,300.68,34.19
90075,60200,2.134,0.5758,8.91,226.74,30.66,2.14
90147,60200,1.474,0.3316,27.99,282.69,105.06,220.44
90367,60200,1.156,0.4264,16.88,86.82,313.85,14.77
90373,60200,1.627,0.2045,9.87,189.41,218.73,206.67
90403,60200,1.234,0.2801,19.01,286.24,306.80,53.68
90416,60200,1.695,0.4923,7.83,326.77,233.29,298.42
96189,60200,1.82,0.3075,13.99,287.23,293.05,74.46
96315,60200,1.443,0.6432,6.65,293.05,356.28,343.32
96536,60200,2.302,0.7781,41.40,199.55,22.51,103.99
96590,60200,0.9079,0.3511,13.60,75.69,202.71,62.13
96631,60200,1.699,0.2592,1.77,19.68,303.78,272.58
96744,60200,2.093,0.7799,34.93,196.12,35.69,56.57
97725,60200,1.799,0.3088,18.19,311.74,212.29,243.95
98943,60200,1.032,0.2192,4.81,75.46,179.45,108.83
99248,60200,1.867,0.5075,10.61,284.12,61.56,205.20
99799,60200,1.462,0.2757,7.56,122.35,249.92,284.27
99907,60200,0.7284,0.5948,28.80,225.59,2.86,327.40
99935,60200,1.654,0.6449,12.77,16.34,323.00,165.70
99942,60200,0.9227,0.1914,3.34,203.96,126.60,142.86
100004,60200,2.591,0.7024,15.70,76.29,13.71,158.82
100085,60200,2.65,0.6193,2.64,305.19,42.22,66.91
100756,60200,2.265,0.5544,11.57,176.51,312.06,177.47
100926,60200,1.783,0.4076,24.25,221.09,138.80,163.95
101869,60200,1.624,0.6109,4.77,110.93,268.82,222.24
101873,60200,2.029,0.3933,45.79,128.79,295.21,43.28
101955,55562,1.126,0.2037,6.03,2.06,66.22,101.70
102873,60200,2.133,0.4666,7.46,72.59,220.42,307.13
103067,60200,1.844,0.5814,38.54,116.60,104.02,131.87
105140,60200,0.9143,0.8169,32.54,237.29,281.67,304.88
105141,60200,1.421,0.1891,14.82,123.71,115.93,290.23
106538,60200,2.42,0.7655,10.33,163.38,41.76,327.73
106589,60200,2.146,0.6175,14.37,163.36,11.84,27.71
108519,60200,1.604,0.2710,16.39,267.26,343.80,1.33
108906,60200,1.235,0.3605,20.93,172.06,344.02,176.29
111253,60200,1.754,0.4394,42.02,310.16,6.96,252.48
112221,60200,2.27,0.4447,58.74,230.09,356.31,105.81
112985,60200,2.22,0.4926,46.99,211.96,105.32,152.51
115052,60200,1.669,0.3183,31.32,190.51,88.21,155.75
136564,60200,1.866,0.3946,2.99,224.45,172.65,1.44
136582,60200,1.342,0.0680,10.50,140.17,107.28,9.97
136617,60200,1.638,0.4168,4.68,268.52,24.89,275.60
136618,60200,1.573,0.3950,1.44,99.34,248.28,140.29
136635,60200,1.573,0.1752,7.64,231.69,311.16,90.00
136745,60200,2.366,0.4840,17.78,247.90,131.62,244.35
136770,60200,1.839,0.4516,25.10,326.22,45.94,289.05
136773,60200,1.585,0.1801,22.10,196.29,117.59,236.79
136793,60200,1.147,0.4653,17.37,296.25,37.05,351.55
136795,60200,1.747,0.4786,10.99,50.14,147.51,170.19
136818,60200,0.9375,0.3463,12.78,259.92,203.82,120.70
136839,60200,1.485,0.3058,8.16,71.90,74.86,36.17
136849,60200,1.491,0.5788,7.79,110.70,97.78,348.18
136874,60200,2.202,0.8843,21.16,197.54,193.39,334.06
136897,60200,1.363,0.1247,38.88,211.86,120.12,247.02
136900,60200,1.748,0.6365,10.98,205.96,239.23,77.63
136923,60200,2.135,0.4412,6.63,51.08,287.37,317.28
136993,60200,2.308,0.5956,24.49,18.21,48.05,28.63
137032,60200,1.596,0.7634,25.49,358.41,252.50,174.74
137044,60200,2.269,0.4287,4.38,335.01,166.78,46.89
137052,60200,1.248,0.8095,14.91,64.28,209.91,330.46
137062,60200,1.225,0.3155,22.52,45.62,172.56,339.95
137064,60200,1.374,0.1950,19.50,36.11,97.65,94.05
